MTU (CET/CEST),Price,Currency
01.01.2021 00:00 - 01.01.2021 01:00,50.87,EUR
01.01.2021 01:00 - 01.01.2021 02:00,48.19,EUR
01.01.2021 02:00 - 01.01.2021 03:00,44.68,EUR
01.01.2021 03:00 - 01.01.2021 04:00,42.92,EUR
01.01.2021 04:00 - 01.01.2021 05:00,40.39,EUR
01.01.2021 05:00 - 01.01.2021 06:00,40.2,EUR
01.01.2021 06:00 - 01.01.2021 07:00,39.63,EUR
01.01.2021 07:00 - 01.01.2021 08:00,40.09,EUR
01.01.2021 08:00 - 01.01.2021 09:00,41.27,EUR
01.01.2021 09:00 - 01.01.2021 10:00,44.88,EUR
01.01.2021 10:00 - 01.01.2021 11:00,45,EUR
01.01.2021 11:00 - 01.01.2021 12:00,47.2,EUR
01.01.2021 12:00 - 01.01.2021 13:00,50.78,EUR
01.01.2021 13:00 - 01.01.2021 14:00,45.49,EUR
01.01.2021 14:00 - 01.01.2021 15:00,44.73,EUR
01.01.2021 15:00 - 01.01.2021 16:00,46.59,EUR
01.01.2021 16:00 - 01.01.2021 17:00,52.99,EUR
01.01.2021 17:00 - 01.01.2021 18:00,60.26,EUR
01.01.2021 18:00 - 01.01.2021 19:00,60.61,EUR
01.01.2021 19:00 - 01.01.2021 20:00,60.36,EUR
01.01.2021 20:00 - 01.01.2021 21:00,57.4,EUR
01.01.2021 21:00 - 01.01.2021 22:00,53.86,EUR
01.01.2021 22:00 - 01.01.2021 23:00,53.45,EUR
01.01.2021 23:00 - 02.01.2021 00:00,49.72,EUR
02.01.2021 00:00 - 02.01.2021 01:00,46.69,EUR
02.01.2021 01:00 - 02.01.2021 02:00,42.43,EUR
02.01.2021 02:00 - 02.01.2021 03:00,41.09,EUR
02.01.2021 03:00 - 02.01.2021 04:00,40,EUR
02.01.2021 04:00 - 02.01.2021 05:00,37.55,EUR
02.01.2021 05:00 - 02.01.2021 06:00,39,EUR
02.01.2021 06:00 - 02.01.2021 07:00,42.09,EUR
02.01.2021 07:00 - 02.01.2021 08:00,44.96,EUR
02.01.2021 08:00 - 02.01.2021 09:00,48.45,EUR
02.01.2021 09:00 - 02.01.2021 10:00,52,EUR
02.01.2021 10:00 - 02.01.2021 11:00,52,EUR
02.01.2021 11:00 - 02.01.2021 12:00,52.15,EUR
02.01.2021 12:00 - 02.01.2021 13:00,55.95,EUR
02.01.2021 13:00 - 02.01.2021 14:00,52,EUR
02.01.2021 14:00 - 02.01.2021 15:00,50.69,EUR
02.01.2021 15:00 - 02.01.2021 16:00,53.45,EUR
02.01.2021 16:00 - 02.01.2021 17:00,59.99,EUR
02.01.2021 17:00 - 02.01.2021 18:00,62,EUR
02.01.2021 18:00 - 02.01.2021 19:00,63.08,EUR
02.01.2021 19:00 - 02.01.2021 20:00,62.17,EUR
02.01.2021 20:00 - 02.01.2021 21:00,60.03,EUR
02.01.2021 21:00 - 02.01.2021 22:00,55.03,EUR
02.01.2021 22:00 - 02.01.2021 23:00,52.25,EUR
02.01.2021 23:00 - 03.01.2021 00:00,48.45,EUR
03.01.2021 00:00 - 03.01.2021 01:00,46.11,EUR
03.01.2021 01:00 - 03.01.2021 02:00,41.59,EUR
03.01.2021 02:00 - 03.01.2021 03:00,37.21,EUR
03.01.2021 03:00 - 03.01.2021 04:00,35.18,EUR
03.01.2021 04:00 - 03.01.2021 05:00,24.65,EUR
03.01.2021 05:00 - 03.01.2021 06:00,23.85,EUR
03.01.2021 06:00 - 03.01.2021 07:00,24.05,EUR
03.01.2021 07:00 - 03.01.2021 08:00,24.8,EUR
03.01.2021 08:00 - 03.01.2021 09:00,24.97,EUR
03.01.2021 09:00 - 03.01.2021 10:00,25.65,EUR
03.01.2021 10:00 - 03.01.2021 11:00,26,EUR
03.01.2021 11:00 - 03.01.2021 12:00,26.89,EUR
03.01.2021 12:00 - 03.01.2021 13:00,25.87,EUR
03.01.2021 13:00 - 03.01.2021 14:00,25.83,EUR
03.01.2021 14:00 - 03.01.2021 15:00,26.02,EUR
03.01.2021 15:00 - 03.01.2021 16:00,26.5,EUR
03.01.2021 16:00 - 03.01.2021 17:00,33.27,EUR
03.01.2021 17:00 - 03.01.2021 18:00,43.96,EUR
03.01.2021 18:00 - 03.01.2021 19:00,43.35,EUR
03.01.2021 19:00 - 03.01.2021 20:00,27.92,EUR
03.01.2021 20:00 - 03.01.2021 21:00,27.56,EUR
03.01.2021 21:00 - 03.01.2021 22:00,27.04,EUR
03.01.2021 22:00 - 03.01.2021 23:00,26.18,EUR
03.01.2021 23:00 - 04.01.2021 00:00,24.92,EUR
04.01.2021 00:00 - 04.01.2021 01:00,24.66,EUR
04.01.2021 01:00 - 04.01.2021 02:00,24.05,EUR
04.01.2021 02:00 - 04.01.2021 03:00,23.88,EUR
04.01.2021 03:00 - 04.01.2021 04:00,24.03,EUR
04.01.2021 04:00 - 04.01.2021 05:00,24.58,EUR
04.01.2021 05:00 - 04.01.2021 06:00,25.84,EUR
04.01.2021 06:00 - 04.01.2021 07:00,28.21,EUR
04.01.2021 07:00 - 04.01.2021 08:00,49.76,EUR
04.01.2021 08:00 - 04.01.2021 09:00,54.42,EUR
04.01.2021 09:00 - 04.01.2021 10:00,55.69,EUR
04.01.2021 10:00 - 04.01.2021 11:00,55.8,EUR
04.01.2021 11:00 - 04.01.2021 12:00,58.27,EUR
04.01.2021 12:00 - 04.01.2021 13:00,57.52,EUR
04.01.2021 13:00 - 04.01.2021 14:00,56.53,EUR
